iter	Passed	Remaining
0	3	3755
1	7	3770
2	11	3831
3	14	3561
4	17	3441
5	20	3333
6	23	3326
7	26	3312
8	29	3300
9	32	3247
10	35	3205
11	39	3228
12	43	3269
13	46	3302
14	50	3285
15	53	3271
16	58	3355
17	61	3362
18	65	3364
19	68	3373
20	72	3370
21	76	3380
22	78	3354
23	82	3335
24	85	3318
25	88	3315
26	92	3319
27	95	3318
28	98	3304
29	101	3288
30	105	3295
31	109	3324
32	112	3309
33	115	3292
34	119	3292
35	122	3281
36	126	3281
37	129	3269
38	132	3253
39	135	3255
40	139	3255
41	142	3256
42	146	3252
43	149	3240
44	152	3246
45	156	3253
46	160	3250
47	163	3244
48	167	3245
49	170	3240
50	174	3241
51	176	3226
52	179	3213
53	182	3202
54	186	3197
55	189	3201
56	193	3199
57	196	3196
58	200	3196
59	204	3205
60	207	3201
61	210	3190
62	213	3180
63	217	3178
64	221	3180
65	224	3170
66	226	3159
67	229	3151
68	233	3151
69	237	3149
70	240	3149
71	243	3139
72	246	3127
73	249	3125
74	255	3147
75	259	3151
76	263	3152
77	267	3158
78	270	3159
79	274	3153
80	277	3145
81	280	3140
82	284	3141
83	288	3143
84	292	3144
85	295	3136
86	298	3133
87	302	3133
88	305	3128
89	308	3123
90	311	3114
91	315	3113
92	318	3110
93	322	3108
94	325	3099
95	328	3093
96	331	3089
97	335	3091
98	339	3092
99	342	3085
100	345	3077
101	349	3072
102	352	3072
103	355	3066
104	359	3061
105	363	3061
106	367	3063
107	370	3056
108	372	3047
109	375	3040
110	379	3038
111	382	3035
112	386	3036
113	389	3030
114	393	3024
115	396	3025
116	400	3026
117	403	3019
118	407	3014
119	410	3009
120	413	3005
121	417	3002
122	420	2996
123	423	2993
124	426	2988
125	430	2983
126	433	2979
127	437	2979
128	440	2971
129	442	2964
130	446	2961
131	450	2962
132	454	2960
133	458	2960
134	461	2957
135	465	2956
136	468	2952
137	471	2944
138	474	2937
139	477	2936
140	481	2935
141	485	2934
142	488	2929
143	492	2924
144	495	2920
145	498	2917
146	501	2911
147	504	2905
148	507	2899
149	511	2898
150	514	2894
151	517	2888
152	520	2882
153	524	2879
154	527	2875
155	531	2873
156	534	2868
157	537	2863
158	540	2858
159	544	2856
160	548	2857
161	551	2854
162	555	2851
163	559	2852
164	563	2850
165	566	2844
166	568	2837
